salesforce_account_id,account_name,uc_dollars,non_uc_dollars,total_dollars,uc_pct,total_dbus
0016100001H7ECMAA3,Asda,1848622.21,397307.69,2245929.9,82.3,9212334.48
0016100001DxTdMAAV,LV=,525850.35,109039.66,634890.01,82.8,2653948.05
0016100001BLrRbAAL,Centrica PLC,94240.6,539839.71,634080.31,14.9,2475747.45
0014N00001ipDOEQA2,Rokos Capital Management,281899.14,100641.88,382541.02,73.7,989656.77
0016100001QbAXzAAN,Network Rail,76680.45,239417.11,316097.56,24.3,1366564.36
0016100001N2QELAA3,Nationwide Building SOCIETY,206470.19,77483.76,283953.95,72.7,892337.39
0016100001D74UDAAZ,Currys plc,110772.97,155850.67,266623.64,41.5,717906.83
0016100001H6kCbAAJ,LSEG,168190.41,81505.64,249696.04,67.4,1010180.11
0016100001OBoTIAA1,New Look,174359.42,37440.83,211800.25,82.3,425364.41
0016100001H6gJ8AAJ,Department for Environment  Food and Rural Affairs (DEFRA),77418.83,130415.58,207834.41,37.3,714784.82
0016100001H6KppAAF,NHS England,104387.76,85769.01,190156.76,54.9,512198.65
0018Y00002nIkyGQAS,NESO,84401.28,94337.39,178738.67,47.2,499683.95
0016100001H6kAoAAJ,Glencore,148869.49,28474.92,177344.41,83.9,525725.24
0013f000008oW7pAAE,Canada Life UK,144735.72,13095.77,157831.49,91.7,589394.87
0016100001WQmJhAAL,KPMG UK,72944.72,84008.43,156953.15,46.5,586746.9
00161000005eOe5AAE,Adobe Systems,20.85,150211.51,150232.35,0.0,2762728.46
0013f0000044JkNAAU,Standard Chartered Bank,61173.89,85123.45,146297.34,41.8,1165320.77
0016100001cf8yNAAQ,The Go-Ahead Group,97413.25,43954.15,141367.4,68.9,351975.02
0016100001D6uAZAAZ,SSE Services plc,110224.66,18016.73,128241.39,86.0,339459.01
0016100001Qb7xeAAB,Clydesdale Bank PLC  trading as Virgin Money,38033.79,80095.55,118129.34,32.2,337371.67
0016100001SQUNAAA5,QBE Insurance Group,67078.63,48726.78,115805.41,57.9,363055.21
0016100001H6kv2AAB,Markerstudy Insurance,73279.36,41743.8,115023.16,63.7,366011.12
0014N00001tQ1ozQAC,Canopius,86974.08,26157.09,113131.17,76.9,369839.82
0018Y00002scnyoQAA,Generic Business Subscription,44901.32,67214.04,112115.35,40.0,440263.0
0016100000U5DldAAF,Estee Lauder,20450.61,87136.77,107587.38,19.0,353870.7
0016100001IwB2AAAV,Foreign  Commonwealth & Development Office (FCDO),57546.19,47349.24,104895.43,54.9,424067.12
0016100001dPkezAAC,Insight Enterprises (HQ),83251.91,20412.19,103664.1,80.3,410427.96
0016100001WowE2AAJ,United Utilities Water Limited,63993.51,38740.29,102733.81,62.3,235528.1
0018Y00002vQXgrQAG,First Central Insurance,88334.41,12986.05,101320.46,87.2,356947.99
0016100001dRGXdAAO,ClearBank,19960.42,81235.89,101196.31,19.7,376488.72
0018Y00002lraYXQAY,Elexon Limited,80276.82,14422.89,94699.72,84.8,433749.63
0013f000005S8CnAAK,Royal London Group,68507.48,18535.81,87043.29,78.7,285432.63
0014N00001iH75bQAC,Lowell Financial Limited,3686.04,83321.11,87007.16,4.2,239401.74
0016100001WmbKcAAJ,Halfords,73831.03,13169.03,87000.06,84.9,244193.11
0016100001BJQsFAAX,Jacobs Engineering,82189.56,4651.91,86841.48,94.6,204644.96
0013f000008ocIRAAY,Ceres Power,41474.32,41080.36,82554.68,50.2,236787.97
0016100001H6kFSAAZ,Intact Insurance UK Limited,29030.11,49169.67,78199.78,37.1,204456.2
0013f000004QNMiAAO,Correla (fka Xoserve),9489.36,68088.27,77577.64,12.2,246891.56
0014N00001nflMCQAY,Chelsea FC Holdings Limited,47004.72,29105.1,76109.82,61.8,224140.65
0013f000004QQXtAAO,Quilter,59825.09,15959.8,75784.89,78.9,145304.86
0016100001H6KoNAAV,Kier Limited,48880.91,25538.97,74419.88,65.7,182311.27
0018Y000031EpVjQAK,OSB Group,0.0,71289.87,71289.87,0.0,150116.59
0016100001OE1DiAAL,Nuvei,44775.69,22721.35,67497.04,66.3,228630.81
0016100001BMe0xAAD,EDF UK,37915.84,29343.45,67259.3,56.4,226038.23
0016100001AUMOvAAP,Sony Electronics - GISC,10481.82,55544.72,66026.53,15.9,171668.66
0018Y00002qRcpHQAS,Inigo Insurance,34247.57,31209.85,65457.42,52.3,270728.03
0016100001WowGNAAZ,Skipton Building Society,49584.48,15857.22,65441.7,75.8,212202.43
0013f000005RTt0AAG,Phoenix Group Holdings PLC,56928.21,7286.64,64214.85,88.7,131920.69
0014N00002BCNMWQA5,Access Group,39761.62,23803.46,63565.07,62.6,269867.65
0013f0000044L0MAAU,Novuna,45675.72,17236.94,62912.67,72.6,361815.07
0016100001TPLKbAAP,Apax,54751.37,8138.89,62890.26,87.1,152298.1
0014N000020qc5VQAQ,Marex Group PLC,41577.12,20974.27,62551.39,66.5,122429.31
001Vp000007mWWJIA2,Vivo Energy,44781.33,16026.47,60807.8,73.6,158694.99
0014N00001neztoQAA,The White Company (U.K.) Limited,51464.43,7475.01,58939.44,87.3,246751.11
0014N00001g7sOjQAI,Two Circles Limited,18115.73,37792.55,55908.28,32.4,137267.22
0016100001H6k8sAAB,Driver and Vehicle Licensing Agency (DVLA),29643.58,25451.11,55094.69,53.8,185857.91
001Vp00000HlLiOIAV,pmmacro.com,35010.84,18908.38,53919.22,64.9,149860.66
0013f000008oynuAAA,ADSS,20.4,53148.31,53168.71,0.0,165499.88
0016100001N4PCUAA3,National Highways,10261.2,42064.18,52325.38,19.6,267711.15
0016100001H6kF0AAJ,Harbour Energy,35441.34,16167.54,51608.88,68.7,122877.14
0013f000003oaE2AAI,Greggs PLC,42296.22,9282.71,51578.93,82.0,120204.44
0014N00001nfDjRQAU,Animal Friends,33229.9,18053.83,51283.74,64.8,117783.74
00161000016w7k7AAA,Motor Insurers Bureau,3825.64,47184.14,51009.78,7.5,178964.56
0018Y000032TaLbQAK,Totalmobile,21.39,50940.02,50961.41,0.0,158041.15
0016100001dR1j0AAC,City Football Group,4569.02,46118.12,50687.15,9.0,198956.83
001Vp000004sYnCIAU,CFC,27889.2,22231.31,50120.51,55.6,144391.36
0016100001F1bHKAAZ,Metropolitan Police Service (Met Police),36188.62,11474.14,47662.76,75.9,109668.32
0016100001Xnas3AAB,North Atlantic Treaty Organization (NATO),38639.96,7952.99,46592.95,82.9,148077.4
001Vp000008QnACIA0,Bell Rock Capital Management LLP,27423.29,17815.1,45238.39,60.6,93486.84
0018Y00002kw84WQAQ,PEI Media,25149.99,19792.98,44942.97,56.0,310071.69
0016100001H7Z1pAAF,Lloyd's,9389.47,34946.13,44335.59,21.2,263448.85
0018Y00002kx8rRQAQ,Herbert Smith Freehills Kramer LLP,28193.18,15354.92,43548.09,64.7,125367.08
0016100001H6kBQAAZ,Howden Group Holdings,30877.77,12567.39,43445.16,71.1,161802.79
0016100001UfVuQAAV,Ecobank,32602.59,10126.42,42729.01,76.3,75169.46
0014N00001nfkJkQAI,Ruffer,29030.82,12587.11,41617.92,69.8,112041.44
0013f000005T3PBAA0,AB Agri,4739.63,35973.51,40713.14,11.6,126285.54
0016100001YhawrAAB,Grupo Bimbo,24856.75,15028.31,39885.06,62.3,140178.88
0013f0000042uX5AAI,CKHH Group,28340.5,11448.89,39789.39,71.2,140550.22
00161000005eOhnAAE,PepsiCo,39.88,39638.57,39678.45,0.1,176119.67
0014N000025i1CdQAI,Graphnet Health,0.37,38992.11,38992.48,0.0,146105.25
0014N000027QsIVQA0,Cabot Financial,3250.7,35592.81,38843.51,8.4,108883.02
00161000016wX1sAAE,Bank of England,19296.81,17575.31,36872.12,52.3,121768.6
0013f0000063eBGAAY,Hitachi Rail Ltd UK,28934.33,7826.76,36761.08,78.7,93125.12
0016100001WmEDEAA3,Bauer Media Outdoor,24082.43,11356.74,35439.17,68.0,75608.48
0018Y00002kxAIGQA2,Mizuho International PLC(UK),32026.82,3290.59,35317.41,90.7,113581.04
0016100001G1KDkAAN,DESNZ - Department for Energy Security and Net Zero,3590.58,30772.99,34363.57,10.4,88786.95
0018Y00002nHxyoQAC,Haleon,11850.63,22005.05,33855.68,35.0,112691.68
0016100001BItFqAAL,HomeServe Membership Limited,27966.19,5551.68,33517.86,83.4,96296.81
001Vp0000038xKeIAI,ACTIVEOPS PLC,29204.69,3999.52,33204.21,88.0,101482.86
0016100001H4PLfAAN,Department for Work and Pensions (DWP),0.0,33012.44,33012.44,0.0,87216.36
0016100000U5DlKAAV,CDW Corporation,20300.37,12523.39,32823.77,61.8,107796.44
0016100001IwC83AAF,Care Quality Commission,0.0,32692.63,32692.63,0.0,81857.78
0018Y00002fp8WDQAY,Petroineos Trading Limited,7502.02,24284.32,31786.34,23.6,125044.79
0013f000008p8m8AAA,Varonis,30453.47,395.52,30848.99,98.7,162952.52
0018Y000036eAw9QAE,Lane Clark & Peacock,23896.15,6821.3,30717.45,77.8,69997.04
0016100001H5p3qAAB,Celonis SE,14155.07,16414.1,30569.16,46.3,103657.92
0013f0000063dy9AAA,Sunbelt Rentals (Ashtead Group),5959.09,24006.44,29965.53,19.9,64091.6
0014N00001nfk88QAA,Helios Towers,13618.7,14635.65,28254.35,48.2,55437.46
0013f000008oSvaAAE,Ascot Group,18897.55,9190.22,28087.77,67.3,87183.16
0016100001SRyJrAAL,Proquire LLC,442.25,27520.08,27962.33,1.6,73360.11
0013f000004TKqnAAG,sales-i,11134.9,16405.48,27540.38,40.4,58704.15
0016100001G26J2AAJ,Valuation Office Agency,0.0,26539.87,26539.87,0.0,68444.98
001Vp000000hY9wIAE,Oxford University Hospitals NHS Foundation Trust,22157.35,3862.06,26019.42,85.2,80332.67
0016100001fRt1pAAC,Brit Group Services,0.49,25849.82,25850.31,0.0,101975.74
00161000005eOdvAAE,PWC (HQ),3612.28,22103.2,25715.48,14.0,87978.25
0018Y00002sc9PJQAY,GTR (Govia Thameslink Railway),0.0,25386.66,25386.66,0.0,53205.28
0014N00001iH75vQAC,OFCOM UK,4946.54,20379.25,25325.79,19.5,65106.37
0016100001BKNnJAAX,Kantar,908.34,24391.18,25299.52,3.6,175314.56
0018Y00002pLtVrQAK,Perch Group,14206.19,10739.16,24945.34,56.9,73977.07
0016100001QbxAzAAJ,Laing O'Rourke,10764.42,14101.42,24865.85,43.3,70987.35
0016100001XnalDAAR,Ramsay Health Care - HQ,23041.84,1745.22,24787.06,93.0,66153.52
001Vp00000BbBj6IAF,HIVE UNDERWRITING LIMITED,13715.1,10513.29,24228.39,56.6,167857.93
001Vp00000EyycNIAR,THE LEADERS ROMANS GROUP LIMITED,15890.42,7952.65,23843.07,66.6,35255.18
0018Y00002mzNWYQA2,Onyx Capital Group,19467.83,4361.9,23829.74,81.7,52136.79
001Vp00000WSGp1IAH,Hays Travel,14304.96,9409.34,23714.29,60.3,56845.32
0016100000U5Dp2AAF,UnitedHealth Group (UHG),36.94,23585.25,23622.19,0.2,94946.21
0014N00001nfDdxQAE,Landsec,18675.59,4929.89,23605.49,79.1,65322.65
0018Y00002yHgxWQAS,Premfina,10136.13,13349.12,23485.25,43.2,48768.04
0018Y00002o0SSZQA2,Reassured,21142.12,2247.39,23389.5,90.4,68950.18
0016100001XnY5CAAV,BSI Group,15932.49,7324.15,23256.65,68.5,154808.51
001Vp000008Gtf4IAC,Thomas Miller,18980.62,4218.11,23198.73,81.8,65331.02
0013f000005Qa0hAAC,Eversheds Sutherland LLP,17090.38,5881.51,22971.89,74.4,52251.81
00161000005eOjHAAU,E&Y (HQ),8182.27,14388.75,22571.02,36.3,218776.91
0013f0000065N99AAE,Pinewood Technologies PLC,15990.94,6540.98,22531.92,71.0,72702.36
00161000005eOkTAAU,Mars Information Services,2910.98,19403.92,22314.91,13.0,122774.74
001Vp000004D2odIAC,PEGO LIMITED,18328.12,3927.64,22255.75,82.4,51883.21
0013f000008ouFMAAY,Ninety One Asset Management,9031.28,13209.32,22240.61,40.6,401859.01
001Vp00000END34IAH,Mitsui Bussan Commodities Limited,13002.95,8631.62,21634.58,60.1,62677.46
0014N000025gUs6QAE,PureGym,15017.39,6444.88,21462.27,70.0,111345.79
0016100001TPKZBAA5,Imperial College London,8785.23,12659.6,21444.83,41.0,62212.55
0018Y00002m54GRQAY,Hanson Wade,17132.23,3733.33,20865.56,82.1,40550.03
001Vp000003Om0NIAS,OneOcean,4.24,20747.18,20751.41,0.0,81202.35
0013f000009gXbyAAE,Skan.ai,3560.34,17152.54,20712.87,17.2,43183.7
0013f0000063PV8AAM,Homes England,15706.25,4762.23,20468.48,76.7,77164.55
0016100001H6kE6AAJ,Northern Powergrid,306.0,20044.59,20350.59,1.5,33736.05
0018Y00002nIE5hQAG,Codat,10634.21,9361.93,19996.14,53.2,40884.7
0013f00000AiIO4AAN,Apollo Underwriting,11001.4,8900.3,19901.69,55.3,54742.95
0013f0000064c1UAAQ,Fable Data,16028.74,3773.95,19802.68,80.9,79777.95
0018Y00002kxAePQAU,Maritime and Coastguard Agency,13706.15,5943.03,19649.18,69.8,81644.83
0014N00001neshGQAQ,Footasylum,13259.83,6109.92,19369.75,68.5,52846.81
0013f000005Rz2kAAC,Office for Students (OfS),9905.35,9368.28,19273.63,51.4,75841.96
0013f0000065W5hAAE,VMED O2 UK Limited,86.58,19030.29,19116.88,0.5,166875.7
0014N00001nfkoYQAQ,Capquest,10651.12,8034.01,18685.13,57.0,50755.51
0013f000009dq1SAAQ,Sciensus,1664.3,16926.81,18591.11,9.0,101740.81
0018Y00002sfBe5QAE,RSM International (HQ),10728.19,7693.14,18421.33,58.2,29449.81
001Vp00000DIuPXIA1,tower-peak.com,1725.5,16574.06,18299.56,9.4,26768.13
0016100001WnABvAAN,Barts Health NHS Trust,13578.57,4643.15,18221.71,74.5,81778.41
001Vp00000VXUwmIAH,adura.com,17746.15,304.48,18050.63,98.3,35736.45
0014N00001g8igcQAA,AxiCorp Financial Services Pty Ltd,12106.29,5826.2,17932.49,67.5,32491.86
0018Y000036fEZnQAM,British Heart Foundation,10333.49,7569.26,17902.75,57.7,40608.29
0013f0000043L1CAAU,DrDoctor,13443.53,4315.2,17758.73,75.7,57009.68
0016100001H5p8SAAR,Hometrack Data Systems,4119.22,13552.24,17671.46,23.3,33445.27
0018Y000031DaqJQAS,Brompton Bicycle,12629.62,5014.87,17644.49,71.6,63084.38
0018Y00002qRbmoQAC,Setfords,13381.49,4241.96,17623.45,75.9,55444.61
0014N000027QfUFQA0,Just Group plc,14186.72,3322.88,17509.6,81.0,74825.93
0014N00001nfDuAQAU,Spirax Group,10988.03,6483.21,17471.24,62.9,37433.32
0018Y00002kwruVQAQ,Visit Britain,13912.67,3443.34,17356.01,80.2,60553.79
0018Y00002fpa5vQAA,more2,6737.91,10532.82,17270.73,39.0,49785.13
00161000005eObsAAE,Barclays Bank PLC,5627.51,11502.56,17130.08,32.9,188393.74
0014N00001nflLOQAY,Arsenal FC,10718.01,6384.09,17102.11,62.7,45489.05
0014N00001tQNH2QAO,TVS Motor Company,10946.53,6144.47,17091.0,64.0,45149.77
0016100001TPKd8AAH,Redgate Software,13834.44,3081.33,16915.77,81.8,31300.56
0014N00001iGp87QAC,Egress Software Technologies,0.0,16909.68,16909.68,0.0,70401.69
001Vp000005MFk0IAG,Equiti Capital,9132.72,7772.16,16904.88,54.0,45856.66
0014N00001g8nUGQAY,EY UK,0.0,16810.31,16810.31,0.0,97632.22
0018Y00002zJ1FqQAK,Low Carbon Contracts Company,0.0,16544.38,16544.38,0.0,56079.83
0018Y000031DnQdQAK,Airband,5422.49,11064.68,16487.17,32.9,24983.78
0013f000008oxLiAAI,Space NK,13526.34,2849.36,16375.71,82.6,41148.69
0018Y00002m4e5jQAA,Exinity,10772.94,5460.19,16233.14,66.4,43021.52
0016100001arxpqAAA,Access Bank,0.0,16126.76,16126.76,0.0,36278.25
0018Y00002fpp0aQAA,Notting Hill Genesis,7271.42,8786.21,16057.63,45.3,58433.9
0016100001dRGSEAA4,Tata Steel Netherlands B.V.,0.0,16008.09,16008.09,0.0,39547.03
0013f000009eUNaAAM,Leeds Building Society,11680.83,3934.15,15614.98,74.8,128215.47
0018Y00003492rYQAQ,IQUW Syndicate Management Limited,11204.67,4199.19,15403.87,72.7,85219.34
0014N00002D93z3QAB,PIB Group,458.24,14716.21,15174.45,3.0,49959.55
0016100001TPKp4AAH,Berkeley Research Group LLC,1620.66,13504.91,15125.57,10.7,155286.38
0013f0000063sIfAAI,Department for Health and Social Care,10223.94,4612.25,14836.19,68.9,31956.92
001Vp000009CNbdIAG,Assosia,7880.56,6938.02,14818.57,53.2,40777.48
0016100001XnZsSAAV,Vinci,11215.93,3476.92,14692.85,76.3,32016.02
0013f00000Aid8FAAR,Office of Rail & Road UK,7154.69,7125.98,14280.67,50.1,19073.06
0016100001E0872AAB,TalkTalk,9432.0,4766.89,14198.89,66.4,54574.42
001Vp000004uaF1IAI,Peabody,8878.59,5277.56,14156.15,62.7,25604.16
001Vp00000391heIAA,Lloyds Clinical,11355.76,2754.57,14110.33,80.5,73839.84
001Vp00000VoKPtIAN,McQueens Dairies,9421.8,4489.3,13911.1,67.7,38421.59
0014N00001nfDqXQAU,Amey,9717.66,4027.89,13745.55,70.7,29379.15
0016100001DwjhvAAB,Met Office,0.0,13704.56,13704.56,0.0,46102.65
0016100001WoQflAAF,AlixPartners LLP,8178.01,5403.84,13581.85,60.2,20200.39
0018Y00002o0QlbQAE,Verastar LTD,10598.84,2900.42,13499.26,78.5,29953.06
0014N00001g7CmxQAE,The AA,11658.57,1796.66,13455.23,86.6,177344.67
001Vp000001SttvIAC,Supporting Education Group,4339.04,9100.57,13439.61,32.3,29854.03
001Vp00000GqC8kIAF,eastmidlandsrailway.co.uk,9349.39,3892.55,13241.95,70.6,17325.67
0016100001fQQO5AAO,Ministry of Housing  Communities and Local Government (MHCLG),9029.94,4089.21,13119.16,68.8,85659.95
0014N00001wsCCAQA2,The British Red Cross Society,8796.28,4262.75,13059.04,67.4,26567.23
0016100001D74F2AAJ,Home Office UK,0.0,12844.33,12844.33,0.0,45536.19
0016100001XnYSpAAN,Everest,2824.01,9716.17,12540.18,22.5,140990.58
0018Y00002vRDPrQAO,Royal National Lifeboat Institution (RNLI),6066.76,6239.49,12306.25,49.3,25225.39
0013f000009fvcJAAQ,1E Limited,7763.09,4455.28,12218.37,63.5,26781.82
0016100001H6kFmAAJ,Scottish Water,0.0,12138.01,12138.01,0.0,31682.35
0013f000005Sh7VAAS,Ceta Insurance,3472.28,8576.73,12049.01,28.8,39431.18
0016100001H4PLLAA3,Ministry of Justice - MoJ - (UK),179.29,11411.01,11590.29,1.5,45675.69
0014N00001tMv1pQAC,Manchester United,8209.13,3369.98,11579.12,70.9,48535.55
0013f0000042iKHAAY,Avanade NL,5852.62,5619.9,11472.52,51.0,85129.94
0018Y0000347JbKQAU,The Associated Board of the Royal Schools of Music,0.0,11427.35,11427.35,0.0,22968.1
001Vp0000016m6NIAQ,OCU Group Limited,6724.7,4610.18,11334.89,59.3,27804.39
0013f00000434TSAAY,Commify,7054.16,4035.77,11089.93,63.6,27254.37
0018Y0000348g7jQAA,Cult Wines,6774.31,4234.56,11008.88,61.5,61049.14
0016100001cfkwLAAQ,Brightwell Pensions,3961.75,6871.38,10833.12,36.6,31182.85
0013f000009eUZgAAM,Our Future Health,5788.89,4932.72,10721.61,54.0,48694.57
0013f000005Qa0mAAC,Freshfields,7638.57,2890.35,10528.92,72.5,32416.12
0016100001DzUR6AAN,Anglian Water Services,1148.85,9345.68,10494.54,10.9,51477.3
0014N000025gtgdQAA,Retail-Insights EMEA,9721.75,676.76,10398.52,93.5,22275.7
0018Y00002m54CpQAI,ClubSpark,0.81,10386.04,10386.85,0.0,21492.26
001Vp000004HCU6IAO,advania.co.uk,6218.16,4121.2,10339.36,60.1,14366.13
001Vp0000095nr2IAA,MAXIMUS UK SERVICES LIMITED,1973.49,8316.13,10289.63,19.2,18377.75
0013f000009g6seAAA,ZigZag Global Ltd,7791.9,2280.65,10072.55,77.4,44661.72
0016100001H6kAtAAJ,Good Energy,6526.38,3511.42,10037.8,65.0,25572.29
0016100001EzKTUAA3,Telefónica Tech (UK),2813.77,7212.75,10026.52,28.1,46035.41
0018Y000031Ch2VQAS,Whittard of Chelsea,7995.42,1984.03,9979.45,80.1,24885.99
001Vp000008RJwpIAG,Un:Hurd,4487.24,5470.34,9957.58,45.1,18155.83
0018Y0000348BrAQAU,PetroStrat Ltd,5390.82,4548.92,9939.74,54.2,21781.51
